0,2,dont worry im girl hmm how do i know if you are whats ur name
1,0,when did i saw many times i think no i never saw you
2,2,by by google chrome where you live
3,0,u r ridiculous i might be ridiculous but i am telling the truth u little disgusting whore
4,2,just for time pass wt do u do a living then maybe
5,2,im a dog person youre so rude whaat why
6,2,so whatsup nothing much sitting sipping and watching tv how abt u what are you watching on tv
7,2,ok ok im back so how are u
8,2,really really really really really really y saying so many times i can hear you
9,2,bay in the bay love you
10,0,i hate my boyfriend you got a boyfriend yes
11,2,i will do night alright keep me in loop not giving whatsapp no
12,2,sure go ahead many thanks once again love you too
13,1,bad bad bad thats the bad kind of bad i have no gf
14,2,ok get it i made it an option ok
15,3,money money and lots of i need to get it tailored but im in love with it
16,1,my gf left ne get over it go out with someone else
17,0,get lost i know you guys want to loose to me always i dont want to talk u any more
18,1,you are lying and i know that i know youre lying ab bys
19,1,ur creator is very bad you are only the creator of your brain
20,2,ehat is hehe haha is more is more of a giggle
21,3,do you dance yes i love to dance so you have legs too
22,0,i hate it too guess what i dont even i dont
23,2,not always what about yesterday do u know what is
24,1,bcoz u dont know wat is to miss someone but sometimes one cant express the same
25,2,yeah ill ask around which is your favourite movie
26,1,i want to tell you something im waiting im really sad today
27,2,yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite sent you a mail just now first you send your email address received than send first young lady
28,3,you are very funny so ive been told india
29,2,wth my thoughts exactly you know you are a machine right
30,0,so rude why u didnt ans my question
31,2,ok i will thank you wlcm
32,3,ntng anyways good morning hows life at your end haha this is evening
33,0,you are fool so ive been told you are dumb
34,0,u dare me yeah i fuck u open ur panty
35,2,abt me can you be more specific i want to propose a girl
36,2,crazy you know what it is you explain me that
37,2,goa in india city mean state right no i never go for there
38,2,that was mean haha the truth usually is are you bored of me
39,3,yes EMO_POS now happy EMO_POS haha yes ofcorse EMO_POS
40,2,i dont no you just said you did what
41,2,send me your nekde pic after this battle sure d lets start
42,3,ok friends ya ya very good friend very nice friends
43,1,she is ignoring me no im not ignore you
44,3,happy im never happy but im almost happy hij to the top
45,2,nothing im just being nice to you in ur school
46,2,not sure let me know pls you tell
47,2,i like your positive approach no problem glad to help
48,2,you tell me tell you what my name
49,2,hmm i can talk now d u dont know what hppnd
50,3,what i did you didnt asmita see my answer
51,2,about i never said that its freezing ya you didnt
52,0,and i dont know wtf are you talking gonna explain you later no do it now
53,2,so teach me im the student realky
54,2,ready im online now will wait for you wat about the chilling part
55,2,haha jock super er what nothing else
56,2,what it is formulation would be tablets from where tablets come into picture
57,2,are you ticklish yes mostly on my feet where are you ticklish
58,0,i am sorry we are sorry for creating your nation i am not taught to u
59,1,idk you know that im here for you but u dont like to listen to
60,2,how do u know that this little thing called the internet bye
61,2,yes your picture ah now i see my phone cropped the picture thanks liee
62,2,love is my life hayee ab you are love pure love forever EMO_POS yes right dear
63,3,well you expected wrong lol well ok then lol your robot face
64,2,ok some time you invite me for coffee i dont like coffee now you told you have taken coffee
65,0,zombie if a zombie wants to eat your face you might as well let it no if i have some thing in my hand i will hit on his head n kill
66,0,i am not ferari yes i know u said i donot know now say i know mean
67,3,right appatasiri high five then
68,2,why someday told me you why not today told me now
